"","Powierzchnia","Forma wlasnosci","Liczba pokoi","Stan wykonczenia","Pietro","Balkon / ogród / taras","Czynsz","Miejsce parkingowe","Obsluga zdalna","Ogrzewanie","Rynek","Typ ogloszeniodawcy","Rok budowy","Rodzaj zabudowy","Okna","Winda","Wyposazenie","Material budynku","cena","urlo","miasto","Media","Zabezpieczenia","Informacje dodatkowe","Dostepne od"
"1:410","33,02 m²","pelna wlasnosc","1 ","do wykonczenia","1/2","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-33m2-balkon-bez-prowizji-ID4fiVw","katowice",NA,NA,NA,NA
"1:411","31,11 m²","pelna wlasnosc","1 ","do wykonczenia","1/2","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-balkon-bezposrednio-ID4fiVr","katowice",NA,NA,NA,NA
"1:412","31,71 m²","pelna wlasnosc","1 ","do wykonczenia","1/2","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-balkon-bezposrednio-ID4fiVp","katowice",NA,NA,NA,NA
"1:413","33,02 m²","pelna wlasnosc","1 ","do wykonczenia","parter/2","taras, ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-33m2-ogrodek-bezposrednio-ID4fiVd","katowice",NA,NA,NA,NA
"1:414","31,58 m²","pelna wlasnosc","1 ","do wykonczenia","parter/2","taras, ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-ogrodek-ID4fiVf","katowice",NA,NA,NA,NA
"1:415","31,11 m²","pelna wlasnosc","1 ","do wykonczenia","parter/2","taras, ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-ogrodek-ID4fiV7","katowice",NA,NA,NA,NA
"1:416","33,72 m²","pelna wlasnosc","1 ","do wykonczenia","parter/2","taras, ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-33m2-ogrodek-bez-prowizji-ID4fiV8","katowice",NA,NA,NA,NA
"1:417","31,71 m²","pelna wlasnosc","1 ","do wykonczenia","parter/2","taras, ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-ogrodek-bez-prowizji-ID4fiV0","katowice",NA,NA,NA,NA
"1:418","29,71 m²","pelna wlasnosc","1 ","do wykonczenia","3/3","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-balkon-bezposrednio-ID4fiWK","katowice",NA,NA,NA,NA
"1:419","32,85 m²","pelna wlasnosc","1 ","do wykonczenia","3/3","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-32m2-balkon-bez-prowizji-ID4fiWI","katowice",NA,NA,NA,NA
"1:420","31,7 m²","pelna wlasnosc","1 ","do wykonczenia","3/3","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-balkon-bezposrednio-ID4fiWC","katowice",NA,NA,NA,NA
"1:421","29,71 m²","pelna wlasnosc","1 ","do wykonczenia","2/3","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-balkon-bezposrednio-ID4fiWp","katowice",NA,NA,NA,NA
"1:422","32,85 m²","pelna wlasnosc","1 ","do wykonczenia","2/3","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-32m2-balkon-ID4fiWj","katowice",NA,NA,NA,NA
"1:423","31,7 m²","pelna wlasnosc","1 ","do wykonczenia","2/3","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-balkon-bezposrednio-ID4fiWd","katowice",NA,NA,NA,NA
"1:424","32,85 m²","pelna wlasnosc","1 ","do wykonczenia","1/3","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-32m2-balkon-bezposrednio-ID4fiUV","katowice",NA,NA,NA,NA
"1:425","32,85 m²","pelna wlasnosc","1 ","do wykonczenia","parter/3","taras, ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-32m2-ogrodek-bez-prowizji-ID4fiUC","katowice",NA,NA,NA,NA
"1:426","29,71 m²","pelna wlasnosc","1 ","do wykonczenia","parter/3","taras, ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-ogrodek-bezposrednio-ID4fiUA","katowice",NA,NA,NA,NA
"1:427","31,7 m²","pelna wlasnosc","1 ","do wykonczenia","parter/3","taras, ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-ogrodek-bez-prowizji-ID4fiUs","katowice",NA,NA,NA,NA
"1:428","32,7 m²","zapytaj","2 ","do wykonczenia","3/4","balkon","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","blok","plastikowe","nie",NA,NA,"268 140 zl","https://www.otodom.pl/pl/oferta/nowa-inwestycja-na-nikiszowcu-ID4fhAb","katowice","telewizja kablowa, internet, telefon",NA,NA,NA
"1:429","35,89 m²","zapytaj","2 ","zapytaj","9/10","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","apartamentowiec","plastikowe","tak",NA,NA,"354 280 zl","https://www.otodom.pl/pl/oferta/nowe-mieszkania-31-07-2022-oddanie-do-uzytku-ID4fhz3","katowice","telewizja kablowa, internet, telefon","monitoring / ochrona","oddzielna kuchnia",NA
"1:430","32,6 m²","zapytaj","2 ","do wykonczenia","3/4","balkon","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","blok","plastikowe","nie",NA,NA,"268 140 zl","https://www.otodom.pl/pl/oferta/nowa-inwestycja-na-nikiszowcu-ID4fhz2","katowice","telewizja kablowa, internet, telefon",NA,NA,NA
"1:431","28 m²","pelna wlasnosc","1 ","do zamieszkania","10/13","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,NA,"plastikowe","tak",NA,NA,"238 000 zl","https://www.otodom.pl/pl/oferta/os-tysiaclecia-ul-piastow-kawalerka-ID4fgde","katowice",NA,NA,"oddzielna kuchnia",NA
"1:432","29,86 m²","pelna wlasnosc","1 ","do wykonczenia","3/16","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-loggia-bez-prowizji-ID4fehp","katowice",NA,NA,NA,NA
"1:433","34,5 m²","pelna wlasnosc","1 ","do zamieszkania","3/4","balkon","200 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2021","apartamentowiec","plastikowe","tak",NA,NA,"399 000 zl","https://www.otodom.pl/pl/oferta/bez-pcc-wykonczony-apartament-blisko-centrum-ID4f9IR","katowice","telewizja kablowa, internet, telefon",NA,NA,NA
"1:434","36 m²","zapytaj","1 ","do zamieszkania","7/10","balkon","zapytaj","zapytaj","tak","miejskie","wtórny","biuro nieruchomosci ","1980","blok","plastikowe","tak","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","wielka plyta","324 900 zl","https://www.otodom.pl/pl/oferta/top-os-paderewskiego-graniczna-z-widokiem-na-staw-ID4f9kv","katowice","telewizja kablowa, internet, telefon","domofon / wideofon","piwnica, oddzielna kuchnia, pom. uzytkowe",NA
"1:435","29,86 m²","pelna wlasnosc","1 ","do wykonczenia","2/16","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-loggia-bezposrednio-ID4f7QR","katowice",NA,NA,NA,NA
"1:436","37,08 m²","zapytaj","2 ","do wykonczenia","5/8","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2021","apartamentowiec",NA,"tak",NA,NA,"389 340 zl","https://www.otodom.pl/pl/oferta/inspire-dolina-3-stawow-2-pokoje-5-p-bud-a-ID4eSyT","katowice",NA,"monitoring / ochrona",NA,NA
"1:437","38 m²","zapytaj","2 ","do wykonczenia","parter/5","taras","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ",NA,"apartamentowiec","plastikowe","nie",NA,NA,"299 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-38-m-katowice-ID4f0hn","katowice",NA,NA,NA,NA
"1:438","33,07 m²","zapytaj","2 ","do wykonczenia","8/13","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ",NA,"apartamentowiec",NA,"tak",NA,NA,"378 652 zl","https://www.otodom.pl/pl/oferta/mieszkania-na-debowych-tarasach-ID4eSFg","katowice",NA,"monitoring / ochrona",NA,NA
"1:439","37 m²","zapytaj","2 ","do wykonczenia","3/3","zapytaj","zapytaj","zapytaj","zapytaj","elektryczne","wtórny","biuro nieruchomosci ","1950","kamienica","plastikowe","nie","meble","cegla","198 000 zl","https://www.otodom.pl/pl/oferta/2-3-pokoje-blisko-centrum-ID4eSgB","katowice",NA,NA,"piwnica",NA
"1:440","35,7 m²","pelna wlasnosc","1 ","do wykonczenia","3/16","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-35m2-loggia-bez-prowizji-ID4ecLL","katowice",NA,NA,NA,NA
"1:441","29,86 m²","pelna wlasnosc","1 ","do wykonczenia","3/16","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-loggia-ID4eLhq","katowice",NA,NA,NA,NA
"1:442","29,86 m²","pelna wlasnosc","1 ","do wykonczenia","6/16","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-loggia-bez-prowizji-ID4eLhs","katowice",NA,NA,NA,NA
"1:443","35,7 m²","pelna wlasnosc","1 ","do wykonczenia","2/16","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-35m2-loggia-ID4ecMV","katowice",NA,NA,NA,NA
"1:444","36,93 m²","pelna wlasnosc","2 ","do wykonczenia","5/10","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-36m2-balkon-bez-prowizji-ID4eKck","katowice",NA,NA,NA,NA
"1:445","36,93 m²","pelna wlasnosc","2 ","do wykonczenia","7/10","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-36m2-balkon-ID4eKcb","katowice",NA,NA,NA,NA
"1:446","36,93 m²","pelna wlasnosc","2 ","do wykonczenia","8/10","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-36m2-balkon-bezposrednio-ID4eKbX","katowice",NA,NA,NA,NA
"1:447","36,93 m²","pelna wlasnosc","2 ","do wykonczenia","1/10","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-36m2-balkon-bezposrednio-ID4eKbm","katowice",NA,NA,NA,NA
"1:448","35,89 m²","pelna wlasnosc","2 ","do wykonczenia","5/10","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-balkon-bezposrednio-ID4eKaS","katowice",NA,NA,NA,NA
"1:449","35,89 m²","pelna wlasnosc","2 ","do wykonczenia","3/10","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-balkon-bezposrednio-ID4eKaK","katowice",NA,NA,NA,NA
"1:450","34,31 m²","pelna wlasnosc","2 ","do wykonczenia","4/6","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-34m2-balkon-bezposrednio-ID4eJ6j","katowice",NA,NA,NA,NA
"1:451","33,83 m²","pelna wlasnosc","2 ","do wykonczenia","6/6","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-33m2-balkon-ID4eJ6h","katowice",NA,NA,NA,NA
"1:452","34,32 m²","pelna wlasnosc","2 ","do wykonczenia","6/6","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-34m2-balkon-ID4eJ6f","katowice",NA,NA,NA,NA
"1:453","33,83 m²","pelna wlasnosc","2 ","do wykonczenia","5/6","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-33m2-balkon-bezposrednio-ID4eJ68","katowice",NA,NA,NA,NA
"1:454","34,31 m²","pelna wlasnosc","2 ","do wykonczenia","2/6","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-34m2-balkon-bez-prowizji-ID4eJ5P","katowice",NA,NA,NA,NA
"1:455","33,83 m²","pelna wlasnosc","2 ","do wykonczenia","3/6","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-33m2-balkon-bez-prowizji-ID4eJ5L","katowice",NA,NA,NA,NA
"1:456","33,83 m²","pelna wlasnosc","2 ","do wykonczenia","4/6","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-33m2-balkon-bezposrednio-ID4eJ5F","katowice",NA,NA,NA,NA
"1:457","33,83 m²","pelna wlasnosc","2 ","do wykonczenia","2/6","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-33m2-balkon-bez-prowizji-ID4eJ5C","katowice",NA,NA,NA,NA
"1:458","33,83 m²","pelna wlasnosc","2 ","do wykonczenia","parter/6","ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-33m2-ogrodek-ID4eJ5q","katowice",NA,NA,NA,NA
"1:459","36,04 m²","pelna wlasnosc","1 ","do wykonczenia","4/4","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-36m2-loggia-bezposrednio-ID4eGnI","katowice",NA,NA,NA,NA
"1:460","36,04 m²","pelna wlasnosc","1 ","do wykonczenia","3/4","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-36m2-loggia-bez-prowizji-ID4eGnx","katowice",NA,NA,NA,NA
"1:461","35,86 m²","pelna wlasnosc","1 ","do wykonczenia","2/4","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-35m2-loggia-ID4eGnm","katowice",NA,NA,NA,NA
"1:462","35,51 m²","pelna wlasnosc","1 ","do wykonczenia","1/4","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-35m2-loggia-bez-prowizji-ID4eGna","katowice",NA,NA,NA,NA
"1:463","37,49 m²","pelna wlasnosc","2 ","do wykonczenia","parter/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-37m2-balkon-bez-prowizji-ID4eGn0","katowice",NA,NA,NA,NA
"1:464","35,51 m²","pelna wlasnosc","1 ","do wykonczenia","parter/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-35m2-balkon-bezposrednio-ID4eGmT","katowice",NA,NA,NA,NA
"1:465","31,86 m²","pelna wlasnosc","1 ","do wykonczenia","5/5","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-balkon-ID4eGmH","katowice",NA,NA,NA,NA
"1:466","31,86 m²","pelna wlasnosc","1 ","do wykonczenia","4/5","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-balkon-bezposrednio-ID4eGmB","katowice",NA,NA,NA,NA
"1:467","37,28 m²","pelna wlasnosc","2 ","do wykonczenia","parter/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-37m2-balkon-bezposrednio-ID4eGn4","katowice",NA,NA,NA,NA
"1:468","28,87 m²","zapytaj","1 ","do wykonczenia","1/13","balkon","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2020",NA,"plastikowe","tak",NA,NA,"333 449 zl","https://www.otodom.pl/pl/oferta/mieszkanie-28-87-m-katowice-ID4eErK","katowice","telewizja kablowa, internet, telefon",NA,"oddzielna kuchnia",NA
"1:469","27,69 m²","pelna wlasnosc","1 ","zapytaj","3/10","zapytaj","180 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","nie",NA,NA,"209 000 zl","https://www.otodom.pl/pl/oferta/katowice-brynow-kawalerka-ul-ligocka-ID4ex1F","katowice",NA,NA,"piwnica, oddzielna kuchnia",NA
"1:470","34,35 m²","pelna wlasnosc","1 ","do wykonczenia","6/6","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ","2020","apartamentowiec","plastikowe","tak",NA,"inne","309 150 zl","https://www.otodom.pl/pl/oferta/kawalerka-z-duzym-balkonem-blisko-uczelni-ID4enfU","katowice","internet","monitoring / ochrona","oddzielna kuchnia",NA
"1:471","34,25 m²","pelna wlasnosc","1 ","do wykonczenia","5/6","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ","2020","apartamentowiec","plastikowe","tak",NA,"inne","300 300 zl","https://www.otodom.pl/pl/oferta/gotowe-dewleoperskie-idealne-pod-inwestycje-ID4enfS","katowice","internet","monitoring / ochrona","oddzielna kuchnia",NA
"1:472","31,6 m²","zapytaj","2 ","do wykonczenia","> 10/12","balkon","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2021","apartamentowiec","plastikowe","tak",NA,NA,"369 837 zl","https://www.otodom.pl/pl/oferta/widok-na-park-slaski-ostatnie-mieszkania-2-pokoje-ID4ekNf","katowice","telewizja kablowa, internet",NA,"oddzielna kuchnia",NA
"1:473","35,96 m²","pelna wlasnosc","2 ","do wykonczenia","2/13","balkon","4 zl","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","apartamentowiec","plastikowe","tak",NA,NA,"356 004 zl","https://www.otodom.pl/pl/oferta/debowe-tarasy-apartament-inwestycja-ID4elU2","katowice",NA,NA,NA,NA
"1:474","25,92 m²","pelna wlasnosc","1 ","do wykonczenia","1/13","balkon","4 zl","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","apartamentowiec","plastikowe","tak",NA,NA,"295 488 zl","https://www.otodom.pl/pl/oferta/debowe-tarasy-apartament-inwestycja-ID4elU4","katowice",NA,NA,NA,NA
"1:475","33,03 m²","zapytaj","2 ","do wykonczenia","> 10/13","balkon","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2021","apartamentowiec","plastikowe","tak",NA,"inne","369 837 zl","https://www.otodom.pl/pl/oferta/silesia-park-slaski-ostatnie13-pietro-2-pokoje-ID4el84","katowice","telewizja kablowa, internet",NA,"oddzielna kuchnia",NA
"1:476","33,07 m²","zapytaj","2 ","do wykonczenia","> 10/13","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2021","apartamentowiec","plastikowe","tak",NA,"inne","393 533 zl","https://www.otodom.pl/pl/oferta/2-pokoje-silesia-park-slaski-ID4ekNd","katowice",NA,NA,"oddzielna kuchnia",NA
"1:477","34,85 m²","pelna wlasnosc","1 ","do zamieszkania","6/6","balkon","zapytaj","zapytaj","tak","miejskie","pierwotny","biuro nieruchomosci ","2020","apartamentowiec","plastikowe","tak",NA,"inne","312 265 zl","https://www.otodom.pl/pl/oferta/gotawa-kawalerka-inwestycyjna-deweloperskie-ID4ef4Z","katowice",NA,"monitoring / ochrona",NA,NA
"1:478","35,7 m²","pelna wlasnosc","1 ","do wykonczenia","7/16","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-35m2-loggia-bezposrednio-ID4ecNu","katowice",NA,NA,NA,NA
"1:479","35,7 m²","pelna wlasnosc","1 ","do wykonczenia","10/16","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-35m2-loggia-ID4ecNs","katowice",NA,NA,NA,NA
"1:480","35,7 m²","pelna wlasnosc","1 ","do wykonczenia","10/16","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-35m2-loggia-bezposrednio-ID4ecNr","katowice",NA,NA,NA,NA
"1:481","35,7 m²","pelna wlasnosc","1 ","do wykonczenia","9/16","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-35m2-loggia-ID4ecNm","katowice",NA,NA,NA,NA
"1:482","35,7 m²","pelna wlasnosc","1 ","do wykonczenia","9/16","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-35m2-loggia-bez-prowizji-ID4ecNl","katowice",NA,NA,NA,NA
