"","Powierzchnia","Forma wlasnosci","Liczba pokoi","Stan wykonczenia","Pietro","Balkon / ogród / taras","Czynsz","Miejsce parkingowe","Obsluga zdalna","Ogrzewanie","Rynek","Typ ogloszeniodawcy","Rok budowy","Rodzaj zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposazenie","cena","urlo","miasto","Material budynku","Informacje dodatkowe","Dostepne od"
"1:1528","25,35 m²","zapytaj","1 ","zapytaj","3/3","balkon","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2022",NA,"plastikowe","tak",NA,NA,NA,"256 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-w-cichej-i-zielonej-okolicy-0-prowizji-ID4g7PA","wroclaw",NA,NA,NA
"1:1529","34,5 m²","zapytaj","1 ","zapytaj","1/3","balkon","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2022",NA,"plastikowe","tak",NA,NA,NA,"327 750 zl","https://www.otodom.pl/pl/oferta/przestronna-kawalerka-z-balkonem-ID4g7Py","wroclaw",NA,NA,NA
"1:1530","34,5 m²","zapytaj","1 ","zapytaj","1/3","balkon","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2022",NA,"plastikowe","tak",NA,NA,NA,"327 750 zl","https://www.otodom.pl/pl/oferta/przestronna-kawalerka-z-balkonem-ID4g7Pz","wroclaw",NA,NA,NA
"1:1531","27,77 m²","pelna wlasnosc","1 ","do zamieszkania","parter/2","zapytaj","350 zl","garaz/miejsce parkingowe","zapytaj","kotlownia","wtórny","biuro nieruchomosci ","1930","kamienica","plastikowe","nie","telewizja kablowa, internet","drzwi / okna antywlamaniowe","lodówka, meble, piekarnik, kuchenka, pralka","195 000 zl","https://www.otodom.pl/pl/oferta/okolice-wedkarzy-komorka-ID4g7NG","wroclaw","cegla","oddzielna kuchnia, pom. uzytkowe",NA
"1:1532","26,42 m²","pelna wlasnosc","1 ","do wykonczenia","1/12","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"312 601 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-26m2-ID4g7Lf","wroclaw",NA,NA,NA
"1:1533","25,5 m²","pelna wlasnosc","1 ","do wykonczenia","parter/12","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"298 213 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-25m2-balkon-ID4g7Le","wroclaw",NA,NA,NA
"1:1534","26,86 m²","pelna wlasnosc","1 ","do wykonczenia","parter/12","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"320 547 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-26m2-balkon-ID4g7Ld","wroclaw",NA,NA,NA
"1:1535","34,73 m²","zapytaj","1 ","zapytaj","1/3","balkon","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2022",NA,"plastikowe","tak",NA,NA,NA,"329 900 zl","https://www.otodom.pl/pl/oferta/przestronna-kawalerka-z-balkonem-ID4g7fl","wroclaw",NA,NA,NA
"1:1536","25,53 m²","pelna wlasnosc","1 ","do wykonczenia","parter/2","ogródek","zapytaj","zapytaj","zapytaj","gazowe","pierwotny","biuro nieruchomosci ","2024","apartamentowiec","plastikowe","nie",NA,"drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,"255 823 zl","https://www.otodom.pl/pl/oferta/nowosc-kawalerka-z-ogrodem-fabryczna-tramwaj-ID4g6Sy","wroclaw",NA,NA,NA
"1:1537","36 m²","zapytaj","2 ","do zamieszkania","2/7","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1986","blok",NA,"tak",NA,NA,"meble","389 000 zl","https://www.otodom.pl/pl/oferta/3km-od-rynek-wroclaw-rozklad-2-pokoje-balkon-ID4g6H7","wroclaw","wielka plyta","piwnica, oddzielna kuchnia, pom. uzytkowe",NA
"1:1538","35,1 m²","zapytaj","2 ","zapytaj","4/4","taras","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","blok",NA,"tak",NA,NA,NA,"346 211 zl","https://www.otodom.pl/pl/oferta/promocje-na-garaz-gotowe-w-2022-dobra-okazja-ID4g6Ds","wroclaw",NA,NA,NA
"1:1539","25,35 m²","pelna wlasnosc","1 ","do wykonczenia","3/3","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","blok","plastikowe","nie",NA,NA,NA,"256 035 zl","https://www.otodom.pl/pl/oferta/kawalerka-na-zielonych-soltysowicach-centrum-6km-ID4g6nO","wroclaw",NA,"pom. uzytkowe","2023-01-01"
"1:1540","29,3 m²","zapytaj","1 ","do wykonczenia","4/5","balkon","280 zl","garaz/miejsce parkingowe","","miejskie","wtórny","biuro nieruchomosci ","2022","apartamentowiec",NA,"tak",NA,"monitoring / ochrona",NA,"459 500 zl","https://www.otodom.pl/pl/oferta/kawalerka-na-browarach-wroclawskich-od-zaraz-ID4g0to","wroclaw","cegla",NA,NA
"1:1541","33 m²","pelna wlasnosc","2 ","zapytaj","10/3","zapytaj","400 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1970","blok",NA,"tak",NA,NA,"meble","410 000 zl","https://www.otodom.pl/pl/oferta/ul-widna-2-pokoje-33m2-krzyki-ID4g6ky","wroclaw","wielka plyta",NA,NA
"1:1542","34,6 m²","pelna wlasnosc","2 ","do wykonczenia","3/12","balkon","400 zl","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2023","apartamentowiec","aluminiowe","tak","internet","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona, rolety antywlamaniowe",NA,"467 100 zl","https://www.otodom.pl/pl/oferta/kawalerka-lub-2-pok-w-najbardziej-prestizowej-inwe-ID4g6jz","wroclaw","inne",NA,"2023-10-31"
"1:1543","32,03 m²","zapytaj","2 ","zapytaj","3/4","balkon","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022",NA,"plastikowe","tak",NA,"drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon",NA,"380 356 zl","https://www.otodom.pl/pl/oferta/niska-cena-atrakcyjna-lokalizacja-ID4g6f8","wroclaw",NA,NA,"2022-03-28"
"1:1544","35 m²","pelna wlasnosc","2 ","zapytaj","parter/6","ogródek","400 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2017","blok","plastikowe","nie","internet","domofon / wideofon",NA,"489 900 zl","https://www.otodom.pl/pl/oferta/plac-bema-kawalerka-z-ogrodkiem-stare-miasto-ID4fxvE","wroclaw","inne",NA,NA
"1:1545","35 m²","pelna wlasnosc","2 ","zapytaj","4/4","balkon","300 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2020","apartamentowiec",NA,"tak",NA,NA,NA,"380 000 zl","https://www.otodom.pl/pl/oferta/okolice-ul-osmanczyka-nowe2020-balkon-lux-ID4g49f","wroclaw","silikat",NA,NA
"1:1546","37 m²","zapytaj","2 ","do zamieszkania","2/7","balkon","350 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1980","blok","plastikowe","tak",NA,"domofon / wideofon","meble","499 000 zl","https://www.otodom.pl/pl/oferta/okolice-nabycinskiej-balkon-winda-ID4g45n","wroclaw",NA,NA,NA
"1:1547","32,37 m²","pelna wlasnosc","2 ","do wykonczenia","3/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-32m2-balkon-ID4g3KP","wroclaw",NA,NA,NA
"1:1548","37,68 m²","pelna wlasnosc","2 ","do wykonczenia","parter/4","taras, ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-37m2-ogrodek-bezposrednio-ID4g3KB","wroclaw",NA,NA,NA
"1:1549","37,92 m²","pelna wlasnosc","2 ","do wykonczenia","parter/4","taras, ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-37m2-ogrodek-bezposrednio-ID4g3Kp","wroclaw",NA,NA,NA
"1:1550","32,51 m²","pelna wlasnosc","2 ","do wykonczenia","parter/4","taras, ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-32m2-ogrodek-ID4g3Kc","wroclaw",NA,NA,NA
"1:1551","32,52 m²","pelna wlasnosc","2 ","do wykonczenia","parter/4","taras, ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-32m2-ogrodek-bezposrednio-ID4g3JU","wroclaw",NA,NA,NA
"1:1552","32,5 m²","pelna wlasnosc","2 ","do zamieszkania","4/4","balkon","270 zl","zapytaj","zapytaj","gazowe","wtórny","biuro nieruchomosci ","2021","apartamentowiec","plastikowe","tak","telewizja kablowa","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","lodówka, meble, piekarnik, kuchenka, pralka","375 000 zl","https://www.otodom.pl/pl/oferta/okolice-minskiej-balkon-winda-2021-ID4g2WY","wroclaw","silikat",NA,NA
"1:1553","20,13 m²","zapytaj","1 ","zapytaj","3/4","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","telewizja kablowa, internet","domofon / wideofon",NA,"241 560 zl","https://www.otodom.pl/pl/oferta/komfortowy-apartament-zwycieska-3-3-26-ID4fjGY","wroclaw",NA,NA,NA
"1:1554","35 m²","pelna wlasnosc","2 ","zapytaj","3/4","zapytaj","280 zl","zapytaj","zapytaj","elektryczne","wtórny","biuro nieruchomosci ","1905","kamienica","plastikowe","nie","internet","domofon / wideofon",NA,"369 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-blisko-wydz-architektury-ID4g1Ua","wroclaw","cegla","piwnica",NA
"1:1555","32,5 m²","pelna wlasnosc","2 ","do zamieszkania","4/4","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2021","blok","plastikowe","tak","telewizja kablowa, internet, telefon",NA,NA,"375 000 zl","https://www.otodom.pl/pl/oferta/minska-factory-2-pokoje-gotowe-pod-klucz-ID4g1Eu","wroclaw",NA,NA,NA
"1:1556","37,39 m²","pelna wlasnosc","2 ","do wykonczenia","3/4","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","deweloper","2023","apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","domofon / wideofon",NA,"491 678,50 zl","https://www.otodom.pl/pl/oferta/dluga-15-mieszkanie-2-pokojowe-z-balkonem4-02m2-ID4eW7d","wroclaw","silikat","piwnica",NA
"1:1557","27 m²","zapytaj","1 ","do zamieszkania","parter/10","balkon","400 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1980","blok","plastikowe","tak",NA,"domofon / wideofon","meble","317 700 zl","https://www.otodom.pl/pl/oferta/okolice-ul-boleslawiecka-szczepin-balkon-ID4g1mJ","wroclaw","wielka plyta",NA,NA
"1:1558","34 m²","zapytaj","1 ","zapytaj","4/16","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2023","apartamentowiec",NA,"tak","telewizja kablowa, internet, telefon",NA,NA,"440 500 zl","https://www.otodom.pl/pl/oferta/mozliwosc-wydzielenia-sypialni-inwestycja-centrum-ID4fZBN","wroclaw",NA,NA,NA
"1:1559","38 m²","spóldzielcze wl. z KW","2 ","do zamieszkania","1/10","zapytaj","600 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1990","blok",NA,"tak",NA,"monitoring / ochrona",NA,"460 000 zl","https://www.otodom.pl/pl/oferta/powstancow-slaskich-38m2-2-pokoje-ID4fZwM","wroclaw",NA,"oddzielna kuchnia",NA
"1:1560","19,14 m²","zapytaj","1 ","zapytaj","parter/5","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ",NA,NA,"plastikowe","tak",NA,NA,NA,"346 571,47 zl","https://www.otodom.pl/pl/oferta/mikroapartament-inwestycyjny-ID4fZwp","wroclaw",NA,NA,NA
"1:1561","37,06 m²","pelna wlasnosc","2 ","do wykonczenia","2/4","balkon","340 zl","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","blok","plastikowe","tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon",NA,"380 540 zl","https://www.otodom.pl/pl/oferta/m2-z-balkonem-na-zielonym-zakrzowie-ID4eSU4","wroclaw","inne",NA,"2022-12-31"
"1:1562","32,29 m²","pelna wlasnosc","1 ","do wykonczenia","1/6","zapytaj","500 zl","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2020",NA,"plastikowe","tak",NA,"teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,"649 000 zl","https://www.otodom.pl/pl/oferta/inwestycja-w-centrum-gotowe-do-odbioru-ID4fPst","wroclaw",NA,NA,NA
"1:1563","30,65 m²","pelna wlasnosc","1 ","do wykonczenia","4/4","balkon","450 zl","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2021","blok","plastikowe","tak",NA,"domofon / wideofon",NA,"385 081 zl","https://www.otodom.pl/pl/oferta/gotowe-2-pokoje-na-jagodnie-bez-prowizji-ID4f4yt","wroclaw",NA,NA,NA
"1:1564","37,84 m²","pelna wlasnosc","2 ","zapytaj","3/3","balkon","350 zl","garaz/miejsce parkingowe","zapytaj","gazowe","wtórny","biuro nieruchomosci ","2015","apartamentowiec",NA,"nie",NA,NA,NA,"449 000 zl","https://www.otodom.pl/pl/oferta/okolice-ul-buforowej-inwestycja-balkon-lux-ID4fYxg","wroclaw","silikat",NA,NA
"1:1565","27,1 m²","pelna wlasnosc","1 ","zapytaj","parter/4","taras","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2023",NA,"plastikowe","tak",NA,"domofon / wideofon",NA,"327 910 zl","https://www.otodom.pl/pl/oferta/0-jagodno-taras-cisza-ID4fYuh","wroclaw",NA,NA,"2023-03-31"
"1:1566","37,5 m²","pelna wlasnosc","2 ","do wykonczenia","parter/9","balkon","296 zl","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2022","apartamentowiec","plastikowe","tak",NA,"drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,"423 001 zl","https://www.otodom.pl/pl/oferta/kawalerka-mozliwe-2-pokoje-ul-dluga-ID4fYoJ","wroclaw",NA,NA,"2022-11-30"
"1:1567","34 m²","zapytaj","1 ","zapytaj","4/5","balkon","400 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2021","apartamentowiec",NA,"tak","telewizja kablowa, internet, telefon",NA,NA,"680 000 zl","https://www.otodom.pl/pl/oferta/piekny-apartament-przy-rynku-klimatyzacja-komork-ID4fAOL","wroclaw",NA,"oddzielna kuchnia",NA
"1:1568","36 m²","pelna wlasnosc","1 ","do wykonczenia","zapytaj","zapytaj","400 zl","zapytaj","tak","zapytaj","wtórny","biuro nieruchomosci ",NA,"apartamentowiec",NA,"tak",NA,"drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon",NA,"530 000 zl","https://www.otodom.pl/pl/oferta/angel-city-studio-w-stanie-developerskim-ID4fXUI","wroclaw","inne",NA,"2022-04-01"
"1:1569","35,98 m²","zapytaj","2 ","zapytaj","3/4","balkon","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2022",NA,"plastikowe","tak",NA,NA,NA,"379 000 zl","https://www.otodom.pl/pl/oferta/2-pokojowe-w-cichej-i-zielonej-okolicy-ID4fXJF","wroclaw",NA,NA,NA
"1:1570","34 m²","pelna wlasnosc","1 ","zapytaj","6/16","balkon","330 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1983","blok",NA,"tak",NA,NA,NA,"345 000 zl","https://www.otodom.pl/pl/oferta/okolice-ul-wojrowickiej-inwestycja-balkon-piwnica-ID4fXBx","wroclaw","wielka plyta","piwnica, oddzielna kuchnia, pom. uzytkowe",NA
"1:1571","30,65 m²","pelna wlasnosc","1 ","do wykonczenia","4/4","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2021","blok",NA,"nie",NA,"drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,"371 802 zl","https://www.otodom.pl/pl/oferta/ostatnia-kawalerka-w-promocyjnej-cenie-ID4fXvT","wroclaw",NA,NA,NA
"1:1572","25,15 m²","zapytaj","1 ","do zamieszkania","4/5","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","2019",NA,"drewniane","nie",NA,NA,"meble","503 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-centrum-stawowa-ID4fXp6","wroclaw",NA,NA,NA
"1:1573","35,98 m²","zapytaj","2 ","zapytaj","3/4","balkon","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2022",NA,"plastikowe","tak",NA,NA,NA,"379 000 zl","https://www.otodom.pl/pl/oferta/2-pokojowe-w-cichej-i-zielonej-okolicy-ID4fXoD","wroclaw",NA,NA,NA
"1:1574","37,06 m²","zapytaj","2 ","zapytaj","2/4","balkon","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2022",NA,"plastikowe","tak",NA,NA,NA,"379 000 zl","https://www.otodom.pl/pl/oferta/2-pokojowe-w-cichej-i-zielonej-okolicy-ID4fXoC","wroclaw",NA,NA,NA
"1:1575","33,82 m²","pelna wlasnosc","2 ","do wykonczenia","1/2","balkon","300 zl","zapytaj","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2022",NA,NA,"nie",NA,NA,NA,"371 200 zl","https://www.otodom.pl/pl/oferta/2-pokoje-z-balkonem-kom-lokatorska-ksieze-wielkie-ID4fXg5","wroclaw",NA,"pom. uzytkowe","2022-10-26"
"1:1576","37,39 m²","pelna wlasnosc","2 ","do wykonczenia","4/4","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","deweloper","2023","apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","domofon / wideofon",NA,"517 851,50 zl","https://www.otodom.pl/pl/oferta/dluga-15-mieszkanie-2-pokojowe-z-balkonem4-02m2-ID4eW7G","wroclaw","silikat","piwnica",NA
"1:1577","32,99 m²","zapytaj","1 ","do wykonczenia","2/6","balkon, taras","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","deweloper","2023","blok","plastikowe","nie",NA,"drzwi / okna antywlamaniowe, domofon / wideofon, rolety antywlamaniowe",NA,"389 282 zl","https://www.otodom.pl/pl/oferta/kawalerka-33m2-balkon-kamienskiego-poswietne-ID4eCLg","wroclaw","silikat","piwnica, oddzielna kuchnia, pom. uzytkowe",NA
"1:1578","20,13 m²","zapytaj","1 ","zapytaj","3/4","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","telewizja kablowa, internet","domofon / wideofon",NA,"241 560 zl","https://www.otodom.pl/pl/oferta/wygodny-apartament-zwycieska-3-3-34-ID4fjCU","wroclaw",NA,NA,NA
"1:1579","32,99 m²","zapytaj","1 ","do wykonczenia","2/6","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","blok",NA,"tak","telewizja kablowa, internet","domofon / wideofon",NA,"385 983 zl","https://www.otodom.pl/pl/oferta/kawalerka-spokojna-okolica-osobna-kuchnia-ID4fWLt","wroclaw","silikat",NA,"2022-12-31"
"1:1580","31,5 m²","pelna wlasnosc","2 ","zapytaj","2/3","balkon","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2022","blok","plastikowe","tak","internet",NA,NA,"362 000 zl","https://www.otodom.pl/pl/oferta/gotowe-2-pokojowe-balkon-jagodno-0-prowizji-ID4fWzO","wroclaw",NA,"oddzielna kuchnia",NA
"1:1581","18 m²","pelna wlasnosc","1 ","do zamieszkania","5/5","zapytaj","116 zl","zapytaj","zapytaj","elektryczne","wtórny","biuro nieruchomosci ","1930","kamienica","plastikowe","nie",NA,NA,"meble","319 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-rynek-okazja-ID4fWnv","wroclaw","cegla",NA,NA
"1:1582","22,3 m²","zapytaj","1 ","zapytaj","9/11","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","miejskie","wtórny","biuro nieruchomosci ","2004","blok",NA,"tak",NA,NA,"meble","275 000 zl","https://www.otodom.pl/pl/oferta/kawalerka22-3-mkw-garazkrzykiul-sliczna-ID4fWmS","wroclaw","cegla",NA,NA
"1:1583","37,27 m²","pelna wlasnosc","2 ","zapytaj","1/10","balkon","400 zl","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","apartamentowiec","plastikowe","nie","internet",NA,NA,"458 421 zl","https://www.otodom.pl/pl/oferta/37m2-z-duzym-tarasem-przy-parku-grabiszynskim-ID4fOgz","wroclaw","silikat",NA,"2023-03-01"
"1:1584","35,9 m²","zapytaj","2 ","zapytaj","parter/4","taras","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2023","blok","plastikowe","tak","telewizja kablowa, internet",NA,NA,"361 700 zl","https://www.otodom.pl/pl/oferta/smart-filtry-antysmogowe-ubezpieczenie-w-cenie-ID4fJwh","wroclaw","pustak",NA,NA
"1:1585","34,1 m²","pelna wlasnosc","1 ","do wykonczenia","> 10/17","balkon","300 zl","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2023","blok","plastikowe","tak","internet","domofon / wideofon",NA,"569 470 zl","https://www.otodom.pl/pl/oferta/mieszkanie-z-panoramicznym-widokiem-ID4eD73","wroclaw","inne",NA,"2023-10-01"
"1:1586","37,8 m²","pelna wlasnosc","2 ","do wykonczenia","> 10/15","balkon","9 zl","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2023","apartamentowiec","plastikowe","tak",NA,"domofon / wideofon, monitoring / ochrona",NA,"621 300 zl","https://www.otodom.pl/pl/oferta/piekny-widok-na-panoramemiasta-ID4bMXM","wroclaw",NA,"piwnica",NA
"1:1587","38 m²","pelna wlasnosc","2 ","zapytaj","1/10","balkon","640 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1980","blok","plastikowe","tak",NA,NA,NA,"409 000 zl","https://www.otodom.pl/pl/oferta/2-pok-z-balkonem-krzyki-ok-sky-tower-ID4fSn0","wroclaw",NA,"piwnica",NA
"1:1588","32,99 m²","zapytaj","1 ","zapytaj","2/7","balkon","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2023",NA,"plastikowe","tak",NA,NA,NA,"392 580 zl","https://www.otodom.pl/pl/oferta/bardzo-ustawna-kawalerka-dobra-na-start-ID4fSeS","wroclaw",NA,NA,NA
"1:1589","37,65 m²","zapytaj","2 ","do wykonczenia","3/4","taras","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","blok",NA,"tak",NA,"drzwi / okna antywlamaniowe, domofon / wideofon",NA,"394 948 zl","https://www.otodom.pl/pl/oferta/2-pokoje-z-balkonem-popularna-dzielnica-ID4fS6p","wroclaw",NA,NA,"2023-09-30"
"1:1590","37,67 m²","pelna wlasnosc","2 ","do wykonczenia","parter/4","taras","300 zl","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2024","blok","plastikowe","tak","internet","domofon / wideofon",NA,"367 283 zl","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-z-tarasem-ID4fR8j","wroclaw","inne",NA,"2024-04-01"
"1:1591","33,59 m²","zapytaj","2 ","do wykonczenia","4/4","taras","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","blok",NA,"tak",NA,"drzwi / okna antywlamaniowe, domofon / wideofon",NA,"342 282 zl","https://www.otodom.pl/pl/oferta/2-pokoje-z-tarasem-popularna-dzielnica-ID4fQTM","wroclaw",NA,NA,"2023-09-30"
"1:1592","34 m²","pelna wlasnosc","1 ","do wykonczenia","2/17","balkon, taras","250 zl","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2023","blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona, rolety antywlamaniowe",NA,"471 750 zl","https://www.otodom.pl/pl/oferta/studio-w-centrum-miasta-taras-25m2-widok-na-rzeke-ID4fQRD","wroclaw","inne","piwnica","2023-10-01"
"1:1593","26,93 m²","pelna wlasnosc","1 ","do wykonczenia","parter","balkon","zapytaj","zapytaj","tak","miejskie","pierwotny","biuro nieruchomosci ",NA,"blok",NA,"nie",NA,NA,NA,"309 695 zl","https://www.otodom.pl/pl/oferta/zielone-jagodno-gotowe-mieszkania-ID4fvSc","wroclaw",NA,NA,NA
"1:1594","28,67 m²","zapytaj","1 ","do wykonczenia","4/4","taras","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","blok",NA,"tak",NA,"drzwi / okna antywlamaniowe, domofon / wideofon",NA,"299 948 zl","https://www.otodom.pl/pl/oferta/kawalerka-z-tarasem-popularna-dzielnica-ID4fQNy","wroclaw",NA,NA,"2023-09-30"
"1:1595","32 m²","pelna wlasnosc","2 ","do zamieszkania","1/10","zapytaj","360 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1970","blok",NA,"tak",NA,NA,NA,"360 000 zl","https://www.otodom.pl/pl/oferta/przytulne-mieszkanie-2-pokoje-blisko-sky-tower-ID4flax","wroclaw","wielka plyta",NA,NA
"1:1596","25,35 m²","pelna wlasnosc","1 ","zapytaj","3/3","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2022",NA,NA,"nie",NA,NA,NA,"256 035 zl","https://www.otodom.pl/pl/oferta/kawalerka-garaz-podziemny-mieszkaj-zarabiaj-0-ID4fQmZ","wroclaw",NA,NA,"2023-10-01"
