"","Powierzchnia","Forma wlasnosci","Liczba pokoi","Stan wykonczenia","Pietro","Balkon / ogród / taras","Czynsz","Miejsce parkingowe","Obsluga zdalna","Ogrzewanie","Rynek","Typ ogloszeniodawcy","Rodzaj zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposazenie","Informacje dodatkowe","Material budynku","cena","urlo","miasto","Dostepne od","Rok budowy"
"1:807","32,97 m²","spóldzielcze wlasnosciowe","1 ","do remontu","3/4","zapytaj","400 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","nie","telewizja kablowa, internet","domofon / wideofon","lodówka, meble, kuchenka, pralka","pom. uzytkowe","cegla","209 000 zl","https://www.otodom.pl/pl/oferta/duze-m2-w-bloku-z-cegly-iii-p-teofilow-ID4fDfy","lodz",NA,NA
"1:808","37,14 m²","zapytaj","2 ","zapytaj","1/4","zapytaj","260 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","nie","telewizja kablowa, internet","domofon / wideofon",NA,"piwnica",NA,"235 000 zl","https://www.otodom.pl/pl/oferta/dabrowa-m3-37-14-m2-i-pietro-do-remontu-polecam-ID4fCEu","lodz","2022-03-01",NA
"1:809","38 m²","zapytaj","2 ","do zamieszkania","1/4","balkon","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","blok",NA,"nie",NA,NA,NA,NA,NA,"339 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-38-m-lodz-ID4fBU6","lodz",NA,"1979"
"1:810","34 m²","zapytaj","2 ","zapytaj","parter/5","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","blok",NA,"nie",NA,NA,NA,NA,NA,"300 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-34-m-lodz-ID4fBU4","lodz",NA,"1950"
"1:811","37 m²","zapytaj","2 ","do remontu","2/5","balkon","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","blok",NA,"nie",NA,NA,NA,NA,NA,"249 999 zl","https://www.otodom.pl/pl/oferta/mieszkanie-37-m-lodz-ID4fBHU","lodz",NA,"1980"
"1:812","29,5 m²","pelna wlasnosc","1 ","zapytaj","parter/1","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,NA,"nie",NA,NA,NA,NA,NA,"152 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-swietna-lokalizacja-ID4fwvS","lodz",NA,NA
"1:813","37 m²","pelna wlasnosc","2 ","zapytaj","3/4","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","blok","plastikowe","nie","telewizja kablowa, internet",NA,NA,"piwnica",NA,"255 000 zl","https://www.otodom.pl/pl/oferta/rozkladowe-m3-dabrowa-ID4fwqG","lodz",NA,NA
"1:814","33 m²","pelna wlasnosc","1 ","do zamieszkania","3/4","balkon","500 zl","zapytaj","zapytaj","inne","wtórny","biuro nieruchomosci ","blok","plastikowe","nie",NA,NA,NA,"oddzielna kuchnia",NA,"278 000 zl","https://www.otodom.pl/pl/oferta/atrakcyjna-kawalerka-umeblowana-plus-sprzety-agd-ID4fuzZ","lodz",NA,NA
"1:815","36,9 m²","pelna wlasnosc","2 ","do wykonczenia","5/5","balkon","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","apartamentowiec",NA,"tak","internet","drzwi / okna antywlamaniowe, domofon / wideofon",NA,NA,NA,"400 000 zl","https://www.otodom.pl/pl/oferta/nowe-2-pok-36-9-mkw-ul-tuwima-ID4fuxV","lodz",NA,NA
"1:816","28,1 m²","pelna wlasnosc","1 ","do wykonczenia","4/4","balkon","200 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","apartamentowiec","plastikowe","tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon",NA,NA,NA,"272 570 zl","https://www.otodom.pl/pl/oferta/mieszkanie-28-10-m-lodz-ID4fuq2","lodz","2023-06-15","2023"
"1:817","37 m²","zapytaj","2 ","zapytaj","7","balkon","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,"plastikowe","tak",NA,NA,NA,NA,NA,"250 000 zl","https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-blisko-powstajacego-metra-ID4fuiY","lodz",NA,NA
"1:818","28 m²","pelna wlasnosc","1 ","do remontu","2/4","zapytaj","284 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","kamienica",NA,"nie",NA,"domofon / wideofon",NA,NA,"cegla","200 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-w-centrum-miasta-ID4fu4g","lodz",NA,NA
"1:819","18,3 m²","pelna wlasnosc","1 ","do zamieszkania","2/2","zapytaj","133 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","kamienica",NA,"nie",NA,NA,NA,NA,"cegla","164 000 zl","https://www.otodom.pl/pl/oferta/studio-w-centrum-zarabiaj-od-1-dnia-bezposrednio-ID4fpUE","lodz",NA,NA
"1:820","38 m²","zapytaj","2 ","do zamieszkania","parter/4","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","nie",NA,NA,NA,"piwnica, oddzielna kuchnia","wielka plyta","235 000 zl","https://www.otodom.pl/pl/oferta/m3dabrowa-z-balkonem-super-cena-ID4e7QL","lodz",NA,NA
"1:821","36,56 m²","pelna wlasnosc","1 ","do wykonczenia","9/11","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-36m2-bez-prowizji-ID4eUDa","lodz",NA,NA
"1:822","30,17 m²","pelna wlasnosc","1 ","do wykonczenia","3/4","balkon","zapytaj","zapytaj","tak","miejskie","wtórny","biuro nieruchomosci ","apartamentowiec",NA,"tak",NA,NA,NA,NA,NA,"298 683 zl","https://www.otodom.pl/pl/oferta/fuzja-ladne-studio-balkon-3-pietro-bydynek-b2-ID4fmY9","lodz",NA,"2020"
"1:823","24 m²","pelna wlasnosc","2 ","zapytaj","2/2","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","kamienica","plastikowe","nie",NA,NA,NA,"oddzielna kuchnia","cegla","220 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-po-generalnym-remoncie-ID4flQC","lodz",NA,NA
"1:824","19,29 m²","pelna wlasnosc","1 ","do zamieszkania","2/2","zapytaj","133 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","kamienica",NA,"nie",NA,NA,NA,NA,"cegla","165 000 zl","https://www.otodom.pl/pl/oferta/studio-w-centrum-zarabiaj-od-1-dnia-bezposrednio-ID4fkKk","lodz",NA,NA
"1:825","37 m²","zapytaj","2 ","do remontu","1/4","balkon","360 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","blok","plastikowe","nie",NA,NA,NA,NA,NA,"245 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-37-m-lodz-ID4fjh0","lodz",NA,"1972"
"1:826","20 m²","zapytaj","1 ","do wykonczenia","1/1","zapytaj","zapytaj","zapytaj","Wirtualny spacer","zapytaj","wtórny","biuro nieruchomosci ",NA,"plastikowe","nie",NA,NA,NA,NA,NA,"118 000 zl","https://www.otodom.pl/pl/oferta/promocja-kawalerka-w-atrakcyjnej-cenie-ID4fiZm","lodz",NA,NA
"1:827","32 m²","spóldzielcze wlasnosciowe","1 ","do zamieszkania","10/10","zapytaj","350 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","tak","telewizja kablowa, internet, telefon",NA,NA,"oddzielna kuchnia, pom. uzytkowe","wielka plyta","219 000 zl","https://www.otodom.pl/pl/oferta/lodz-m2-32-m2-10-pietro-winda-parking-ID4fiw1","lodz",NA,"1972"
"1:828","36 m²","zapytaj","2 ","zapytaj","6/13","balkon","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","blok",NA,"tak",NA,NA,NA,NA,NA,"249 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-gorna-ID4fgca","lodz",NA,"1967"
"1:829","38 m²","zapytaj","2 ","do zamieszkania","1/4","balkon","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","blok",NA,"nie",NA,NA,NA,NA,NA,"289 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-38-m-lodz-ID4fgc9","lodz",NA,"1958"
"1:830","34 m²","pelna wlasnosc","2 ","do zamieszkania","5/5","zapytaj","500 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","kamienica","plastikowe","tak","telewizja kablowa, internet","teren zamkniety, domofon / wideofon, monitoring / ochrona","lodówka, meble, pralka",NA,"cegla","320 000 zl","https://www.otodom.pl/pl/oferta/wyjatkowe-i-oryginalne-m-3srodmiescie-bez-prowizji-ID4ffp1","lodz",NA,NA
"1:831","36 m²","pelna wlasnosc","2 ","do zamieszkania","2/3","zapytaj","zapytaj","zapytaj","zapytaj","elektryczne","wtórny","biuro nieruchomosci ","kamienica",NA,"nie",NA,NA,NA,NA,"cegla","250 000 zl","https://www.otodom.pl/pl/oferta/kawalerki-lodz-centrum-ID4fdQX","lodz",NA,"1921"
"1:832","37 m²","pelna wlasnosc","2 ","zapytaj","2/3","zapytaj","zapytaj","zapytaj","zapytaj","elektryczne","wtórny","biuro nieruchomosci ","kamienica",NA,"nie",NA,"domofon / wideofon","lodówka, meble, pralka","piwnica","cegla","270 000 zl","https://www.otodom.pl/pl/oferta/pakiet-inwestycyjny-gotowe-ID4fdME","lodz","2022-02-03",NA
"1:833","34,72 m²","pelna wlasnosc","1 ","do wykonczenia","4/5","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-34m2-balkon-bez-prowizji-ID4fcfQ","lodz",NA,NA
"1:834","34,72 m²","pelna wlasnosc","1 ","do wykonczenia","3/5","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-34m2-balkon-bez-prowizji-ID4fcfJ","lodz",NA,NA
"1:835","34,72 m²","pelna wlasnosc","1 ","do wykonczenia","2/5","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-34m2-balkon-bez-prowizji-ID4fcfC","lodz",NA,NA
"1:836","34,72 m²","pelna wlasnosc","1 ","do wykonczenia","1/5","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-34m2-balkon-bezposrednio-ID4fcfu","lodz",NA,NA
"1:837","30,99 m²","pelna wlasnosc","1 ","do wykonczenia","parter/5","taras, ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-30m2-ogrodek-bez-prowizji-ID4fcfo","lodz",NA,NA
"1:838","37,63 m²","pelna wlasnosc","1 ","do wykonczenia","2/5","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-37m2-balkon-bezposrednio-ID4cmtD","lodz",NA,NA
"1:839","34,48 m²","pelna wlasnosc","1 ","do wykonczenia","2/5","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-34m2-balkon-bezposrednio-ID4cmtT","lodz",NA,NA
"1:840","29,73 m²","zapytaj","1 ","do wykonczenia","4/6","balkon","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","apartamentowiec",NA,"tak",NA,NA,NA,NA,NA,"279 462 zl","https://www.otodom.pl/pl/oferta/mieszkanie-29-73-m-lodz-ID4fbkc","lodz",NA,"2022"
"1:841","24 m²","pelna wlasnosc","1 ","do remontu","1/3","zapytaj","200 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","kamienica","plastikowe","nie",NA,NA,NA,NA,"cegla","119 000 zl","https://www.otodom.pl/pl/oferta/m2-ip24m2-wlasnosc-zawiszy-ID4fa2I","lodz",NA,NA
"1:842","36,63 m²","pelna wlasnosc","1 ","do wykonczenia","1/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-36m2-balkon-ID4f9dw","lodz",NA,NA
"1:843","36,56 m²","pelna wlasnosc","1 ","do wykonczenia","3/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-36m2-balkon-bezposrednio-ID4f9dq","lodz",NA,NA
"1:844","36,63 m²","pelna wlasnosc","1 ","do wykonczenia","3/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-36m2-balkon-bezposrednio-ID4f9dp","lodz",NA,NA
"1:845","35,12 m²","pelna wlasnosc","1 ","do wykonczenia","4/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-35m2-balkon-bezposrednio-ID4f7Rm","lodz",NA,NA
"1:846","36,69 m²","pelna wlasnosc","1 ","do wykonczenia","4/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-36m2-balkon-bez-prowizji-ID4f7Rj","lodz",NA,NA
"1:847","36,98 m²","pelna wlasnosc","1 ","do wykonczenia","4/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-36m2-balkon-ID4f7Re","lodz",NA,NA
"1:848","36,93 m²","pelna wlasnosc","1 ","do wykonczenia","1/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"290 000 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-36m2-balkon-ID4f7Rb","lodz",NA,NA
"1:849","36,2 m²","zapytaj","2 ","do zamieszkania","4/4","balkon","286 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","nie","telewizja kablowa, internet","domofon / wideofon","kuchenka","piwnica, oddzielna kuchnia","wielka plyta","250 000 zl","https://www.otodom.pl/pl/oferta/m3-dabrowa-iv-pietro-blok-ID4f6m4","lodz",NA,"1970"
"1:850","38 m²","zapytaj","2 ","do zamieszkania","4/4","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","nie",NA,NA,NA,NA,"wielka plyta","265 000 zl","https://www.otodom.pl/pl/oferta/m-3-38m2-dabrowa-ID4f3m9","lodz",NA,NA
"1:851","23,62 m²","pelna wlasnosc","1 ","do wykonczenia","parter/2","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","kamienica","plastikowe","nie","internet","teren zamkniety",NA,"oddzielna kuchnia","cegla","199 000 zl","https://www.otodom.pl/pl/oferta/pokoj-z-kuchnia-c-o-miejskie-parter-ID4eZvE","lodz","2022-08-01","1920"
"1:852","18,02 m²","zapytaj","1 ","do zamieszkania","1/3","zapytaj","150 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","kamienica","plastikowe","nie",NA,"monitoring / ochrona",NA,NA,NA,"205 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-18-02-m-lodz-ID4eZsD","lodz",NA,"1930"
"1:853","36,56 m²","pelna wlasnosc","1 ","do wykonczenia","> 10/11","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-36m2-bezposrednio-ID4eUDr","lodz",NA,NA
"1:854","36,56 m²","pelna wlasnosc","1 ","do wykonczenia","5/11","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-36m2-bez-prowizji-ID4eUDl","lodz",NA,NA
"1:855","36,56 m²","pelna wlasnosc","1 ","do wykonczenia","8/11","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-36m2-bez-posrednikow-ID4eUCi","lodz",NA,NA
"1:856","35,55 m²","pelna wlasnosc","1 ","do wykonczenia","3/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-35m2-balkon-bez-prowizji-ID4eTNE","lodz",NA,NA
"1:857","29,7 m²","pelna wlasnosc","1 ","do wykonczenia","1/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-balkon-bezposrednio-ID4eBvP","lodz",NA,NA
"1:858","15,17 m²","zapytaj","1 ","zapytaj","2/3","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,"plastikowe","nie",NA,NA,NA,NA,NA,"116 000 zl","https://www.otodom.pl/pl/oferta/mikrokawalerka-idealna-pod-wynajem-ID4eSQo","lodz",NA,NA
"1:859","15,38 m²","zapytaj","1 ","zapytaj","1/3","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,"plastikowe","nie",NA,NA,NA,NA,NA,"117 000 zl","https://www.otodom.pl/pl/oferta/mikrokawalerka-idealna-pod-wynajem-ID4eSQb","lodz",NA,NA
"1:860","32,38 m²","pelna wlasnosc","2 ","do zamieszkania","3/4","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","kamienica","plastikowe","nie",NA,NA,NA,NA,"cegla","235 000 zl","https://www.otodom.pl/pl/oferta/2-pok-dla-siebie-lub-pod-wynajem-ok-placu-halera-ID4duz2","lodz",NA,"1920"
"1:861","37,27 m²","pelna wlasnosc","2 ","do wykonczenia","4/5","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-37m2-loggia-bezposrednio-ID4eLpl","lodz",NA,NA
"1:862","37,27 m²","pelna wlasnosc","2 ","do wykonczenia","3/5","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-37m2-loggia-ID4eLp1","lodz",NA,NA
"1:863","37,27 m²","pelna wlasnosc","2 ","do wykonczenia","2/5","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-37m2-loggia-ID4eLoN","lodz",NA,NA
"1:864","29 m²","pelna wlasnosc","1 ","do zamieszkania","parter/2","ogródek, taras","210 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","kamienica","plastikowe","nie","telewizja kablowa, internet","teren zamkniety, domofon / wideofon","meble, piekarnik, kuchenka","piwnica, oddzielna kuchnia, pom. uzytkowe","cegla","224 900 zl","https://www.otodom.pl/pl/oferta/kawalerka-29m2-parter-po-remoncie-niski-czynsz-ID4etxe","lodz",NA,NA
"1:865","27,77 m²","pelna wlasnosc","1 ","do wykonczenia","parter/5","taras, ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-ogrodek-bez-prowizji-ID4eKfc","lodz",NA,NA
"1:866","32,11 m²","pelna wlasnosc","1 ","do wykonczenia","parter/5","taras, ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-32m2-ogrodek-ID4eKfb","lodz",NA,NA
"1:867","36 m²","pelna wlasnosc","1 ","do remontu","2/3","zapytaj","zapytaj","zapytaj","zapytaj","elektryczne","wtórny","biuro nieruchomosci ","kamienica",NA,"nie",NA,NA,NA,"pom. uzytkowe","cegla","182 000 zl","https://www.otodom.pl/pl/oferta/tania-kawalerka-w-centrum-lodzi-ID4cRwp","lodz",NA,"1920"
"1:868","35,42 m²","pelna wlasnosc","2 ","do wykonczenia","3/7","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-balkon-bezposrednio-ID4eF9b","lodz",NA,NA
"1:869","31,69 m²","pelna wlasnosc","1 ","do wykonczenia","1/7","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-bez-posrednikow-ID4eF8h","lodz",NA,NA
"1:870","28,26 m²","zapytaj","1 ","zapytaj","4/4","balkon","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","deweloper","blok",NA,"tak",NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/ustawne-mieszkanie-helenow-park-h-4-170-ID4eDcS","lodz",NA,"2023"
"1:871","28,26 m²","zapytaj","1 ","zapytaj","3/4","balkon","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","deweloper","blok",NA,"tak",NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/nowoczesne-mieszkanie-helenow-park-h-3-166-ID4eDct","lodz",NA,"2023"
"1:872","28,26 m²","zapytaj","1 ","zapytaj","2/4","balkon","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","deweloper","blok",NA,"tak",NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/ustawne-mieszkanie-helenow-park-h-2-162-ID4eDc6","lodz",NA,"2023"
"1:873","28,26 m²","zapytaj","1 ","zapytaj","1/4","balkon","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","deweloper","blok",NA,"tak",NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/ustawne-mieszkanie-helenow-park-h-1-158-ID4eDbu","lodz",NA,"2023"
"1:874","28,26 m²","zapytaj","1 ","zapytaj","parter/4","balkon","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","deweloper","blok",NA,"tak",NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/ustawne-mieszkanie-helenow-park-h-0-154-ID4eDaO","lodz",NA,"2023"
"1:875","32,32 m²","zapytaj","1 ","zapytaj","parter/4","ogródek","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","deweloper","blok",NA,"tak",NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/komfortowe-mieszkanie-helenow-park-h-0-151-ID4eDa1","lodz",NA,"2023"
"1:876","32,62 m²","zapytaj","2 ","zapytaj","parter/4","ogródek","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","deweloper","blok",NA,"tak",NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-helenow-park-h-0-152-ID4eDa9","lodz",NA,"2023"
"1:877","37,8 m²","zapytaj","1 ","zapytaj","4/4","balkon","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","deweloper","blok",NA,"tak",NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/ustawne-mieszkanie-helenow-park-g-4-149-ID4eD9b","lodz",NA,"2023"
"1:878","37,8 m²","zapytaj","1 ","zapytaj","3/4","balkon","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","deweloper","blok",NA,"tak",NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/ustawne-mieszkanie-helenow-park-g-3-145-ID4eD7j","lodz",NA,"2023"
"1:879","37,8 m²","zapytaj","1 ","zapytaj","2/4","balkon","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","deweloper","blok",NA,"tak",NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/nowe-mieszkanie-helenow-park-g-2-141-ID4eD5L","lodz",NA,"2023"
"1:880","37,8 m²","zapytaj","1 ","zapytaj","1/4","balkon","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","deweloper","blok",NA,"tak",NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/ustawne-mieszkanie-helenow-park-g-1-137-ID4eD5m","lodz",NA,"2023"
"1:881","37,8 m²","zapytaj","1 ","zapytaj","parter/4","balkon","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","deweloper","blok",NA,"tak",NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/kompaktowe-mieszkanie-helenow-park-g-0-133-ID4eD4H","lodz",NA,"2023"
